,이전VDS,이후VDS,holiday,교통량,평균속도
272,93.24,102.55,0,320,98.69
551,95.03,105.62,0,309,101.73
830,91.91,105.68,0,306,98.35
1109,96.73,101.91,0,245,100.18
1388,94.87,104.07,0,244,100.71
1667,94.09,104.31,0,202,99.59
1946,90.74,104.06,0,212,100.53
2225,91.1,102.41,0,209,97.52
2504,91.55,97.52,0,177,98.87
2783,91.84,98.51,0,166,100.89
3062,91.52,96.63,0,159,97.92
3341,90.19,97.78,0,154,95.82
3620,88.9,97.78,0,183,96.89
3899,89.66,96.37,0,156,98.39
4178,88.95,96.82,0,156,99.46
4457,87.01,94.58,0,138,97.48
4736,89.11,94.69,0,146,96.16
5015,88.72,95.63,0,161,97.36
5294,89.5,97.75,0,207,93.97
5573,86.59,94.13,0,241,94.69
5852,87.79,94.3,0,278,95.55
6131,87.32,96.39,0,334,93.41
6410,86.28,95.99,0,440,92.79
6689,83.43,96.19,0,578,90.17
6968,82.75,94.33,0,633,88.81
7247,80.67,91.55,0,766,83.94
7526,75.46,92.8,0,830,81.54
7805,74.54,91.83,0,938,83.95
8084,54.69,139.16,0,1137,81.23
8363,50.78,139.16,0,1262,75.44
8642,54.45,139.16,0,1301,76.14
8921,47.3,139.16,0,1249,77.83
9200,52.79,139.16,0,1237,78.74
9479,54.56,139.16,0,1175,78.58
9758,51.65,139.16,0,1127,81.11
10037,48.45,139.16,0,1091,82.41
10316,52.95,139.16,0,1116,82.44
10595,43.71,139.16,0,1007,82.34
10874,44.38,139.16,0,976,84.33
11153,42.47,139.16,0,1007,81.93
11432,42.27,139.16,0,978,85.52
11711,44.89,139.16,0,931,82.73
11990,45.04,139.16,0,942,85.66
12269,40.5,139.16,0,878,86.49
12548,44.38,139.16,0,952,83.99
12827,50.71,139.16,0,919,87.07
13106,50.38,139.16,0,928,85.42
13385,56.58,139.16,0,902,85.35
13664,60.86,139.16,0,907,84.7
13943,70.76,139.16,0,874,89.05
14222,66.55,139.16,0,955,87.64
14501,62.79,139.16,0,973,85.97
14780,52.05,139.16,0,964,85.01
15059,55.16,139.16,0,1044,82.98
15338,58.44,139.16,0,1082,68.3
15617,72.31,139.16,0,916,87.14
15896,55.24,139.16,0,1038,81.86
16175,52.72,139.16,0,1125,76.78
16454,53.38,139.16,0,1115,75.33
16733,51.37,139.16,0,1133,69.12
17012,50.0,139.16,0,1138,59.64
17291,48.36,139.16,0,1114,58.04
17570,50.66,139.6,0,1162,63.06
17849,58.38,139.16,0,1168,72.76
18128,71.1,139.16,0,1084,81.09
18407,55.5,139.16,0,1100,79.2
18686,54.5,139.16,0,1147,69.08
18965,53.23,139.16,0,1143,49.92
19244,32.71,127.78,0,1117,52.58
19523,46.34,124.92,0,1160,59.59
19802,37.43,124.39,0,1171,62.36
20081,38.59,123.97,0,1169,61.16
20360,68.9,135.88,0,1141,44.56
20639,75.87,136.33,0,1090,64.8
20918,77.9,137.49,0,963,86.67
21197,76.6,117.14,0,997,85.8
21476,71.84,109.83,0,1014,79.05
21755,71.04,123.06,0,1054,75.35
22034,77.57,111.36,0,906,83.44
22313,74.5,100.26,0,876,84.33
22592,71.71,139.16,0,910,82.18
22871,75.17,139.16,0,887,81.99
23150,68.23,139.16,0,916,83.77
23429,71.23,139.16,0,919,86.49
23708,80.02,93.46,0,726,93.53
23987,78.78,97.54,0,784,92.07
24266,79.48,92.0,0,754,92.63
24545,81.07,95.55,0,688,90.4
24824,78.81,94.49,0,600,91.46
25103,84.45,93.8,0,524,95.94
25382,86.74,98.51,0,499,98.68
25661,89.08,99.39,0,459,99.17
25940,90.15,102.09,0,437,100.02
26219,90.22,102.94,0,441,100.89
26498,90.86,103.76,0,404,100.77
26777,93.49,104.29,0,355,104.74
27056,92.52,102.27,0,324,105.3
27335,93.73,103.95,0,294,104.09
27614,91.56,101.19,0,302,105.2
27893,93.35,103.35,0,257,104.02
28172,94.78,104.16,0,239,107.6
28451,92.92,101.08,0,242,102.98
28730,95.09,100.29,0,214,105.01
29009,93.86,100.65,0,202,105.57
29288,94.07,100.03,0,201,104.78
29567,92.62,101.57,0,189,104.39
29846,89.75,101.78,0,166,102.46
30125,93.96,101.59,0,194,102.06
30404,89.47,95.89,0,154,102.95
30683,90.67,100.57,0,154,104.54
30962,91.63,96.93,0,167,99.81
31241,87.98,95.1,0,165,103.2
31520,87.69,93.78,0,176,101.28
31799,90.96,95.37,0,175,101.66
32078,90.08,97.0,0,211,102.03
32357,86.24,94.77,0,239,99.61
32636,87.56,96.86,0,278,99.35
32915,86.9,95.34,0,327,98.22
33194,85.41,95.27,0,492,95.77
33473,86.32,95.97,0,536,95.16
33752,82.24,96.04,0,632,91.58
34031,81.12,93.92,0,755,87.57
34310,77.1,93.48,0,787,83.99
34589,76.48,93.07,0,887,87.83
