,이전VDS,이후VDS,holiday,교통량,평균속도
66,87.76,93.25,0,241,89.66
338,87.12,95.82,0,217,90.32
610,90.26,96.49,0,168,92.07
882,85.31,94.25,0,182,87.86
1154,87.06,92.62,0,187,87.34
1426,88.44,93.13,0,170,88.63
1698,85.89,93.52,0,151,87.83
1970,86.65,89.04,0,141,89.1
2242,83.76,91.33,0,174,84.96
2514,84.48,91.34,0,133,85.77
2786,84.65,90.9,0,135,85.56
3058,84.73,86.49,0,115,86.04
3330,84.59,90.28,0,119,86.43
3602,83.82,86.71,0,96,85.65
3874,82.29,85.14,0,102,82.55
4146,86.12,92.05,0,114,87.93
4418,82.16,88.95,0,110,84.07
4690,83.27,86.71,0,98,86.35
4962,84.53,91.18,0,115,87.43
5234,86.13,91.08,0,131,86.59
5506,85.0,90.79,0,155,87.7
5778,91.1,95.88,0,185,91.32
6050,95.46,97.53,0,164,95.28
6322,93.1,97.93,0,200,94.05
6594,95.25,98.49,0,206,98.09
6866,94.08,99.43,0,271,98.08
7138,95.39,100.91,0,292,97.77
7410,94.11,99.62,0,313,97.25
7682,93.53,99.31,0,382,96.36
7954,93.36,99.07,0,408,96.24
8226,94.67,101.98,0,489,96.91
8498,93.9,101.74,0,539,96.71
8770,92.02,99.82,0,598,96.43
9042,92.84,100.27,0,618,97.0
9314,92.86,99.9,0,663,96.11
9586,91.07,99.16,0,687,94.17
9858,90.88,96.88,0,726,93.83
10130,102.06,97.74,0,694,93.41
10402,114.37,96.68,0,826,92.5
10674,117.43,96.17,0,843,92.64
10946,126.18,96.55,0,891,91.96
11218,136.04,95.07,0,1029,91.91
11490,97.965,94.48,0,975,90.9
11762,97.965,95.14,0,977,90.14
12034,97.965,95.33,0,1016,90.36
12306,97.965,94.16,0,1144,89.06
12578,97.965,94.25,0,1149,90.34
12850,97.965,94.28,0,988,89.9
13122,97.965,95.92,0,1080,90.26
13394,97.965,96.58,0,989,92.41
13666,97.965,96.16,0,1011,92.99
13938,97.965,94.86,0,999,90.62
14210,97.965,96.22,0,975,91.24
14482,97.965,95.47,0,999,91.06
14754,97.965,95.13,0,1064,91.85
15026,97.965,95.09,0,1004,92.3
15298,97.965,96.48,0,952,92.76
15570,97.965,96.69,0,944,91.48
15842,97.965,95.33,0,1035,90.4
16114,97.965,94.23,0,984,90.15
16386,97.965,93.79,0,1020,89.06
16658,97.965,93.67,0,1095,90.15
16930,97.965,92.71,0,1024,88.77
17202,97.965,95.03,0,978,89.83
17474,97.965,93.08,0,1132,88.19
17746,97.965,91.72,0,1130,87.61
18018,97.965,91.19,0,1226,87.36
18290,97.965,91.65,0,1223,87.42
18562,97.965,92.73,0,1251,87.78
18834,97.965,94.1,0,1206,90.21
19106,136.07,95.28,0,1165,88.13
19378,137.49,94.5,0,1226,88.93
19650,135.07,96.97,0,1148,90.24
19922,133.96,96.89,0,1083,91.23
20194,127.24,98.68,0,975,94.3
20466,118.48,99.51,0,939,92.47
20738,112.58,98.67,0,959,92.72
21010,108.79,97.73,0,881,92.3
21282,105.69,96.26,0,771,90.43
21554,102.01,95.18,0,668,88.48
21826,96.86,96.13,0,638,90.05
22098,94.38,96.34,0,637,90.14
22370,93.91,96.0,0,629,91.07
22642,95.17,98.64,0,562,92.68
22914,86.26,99.31,0,528,90.42
23186,82.41,99.02,0,490,82.08
23458,83.68,97.32,0,506,84.7
23730,86.14,99.16,0,495,83.93
24002,83.17,99.43,0,463,83.74
24274,83.16,100.66,0,466,84.7
24546,84.66,100.28,0,419,85.78
24818,86.87,104.12,0,404,86.62
25090,84.01,97.33,0,340,82.48
25362,85.73,98.14,0,276,85.85
25634,86.19,100.1,0,352,85.39
25906,87.51,100.74,0,268,86.78
26178,85.91,99.57,0,276,84.12
26450,88.16,99.14,0,208,85.45
26722,89.6,97.16,0,210,85.9
26994,89.31,102.57,0,194,85.32
27266,85.66,96.92,0,175,82.64
27538,82.95,96.3,0,171,83.23
27810,87.97,96.37,0,139,81.15
28082,86.52,92.84,0,158,85.52
28354,85.68,95.49,0,122,82.53
28626,85.38,95.12,0,138,81.33
28898,87.71,93.47,0,132,80.27
29170,81.85,89.15,0,98,78.06
29442,83.69,91.2,0,109,81.52
29714,80.85,89.15,0,103,80.19
29986,83.36,90.66,0,136,79.62
30258,81.96,90.08,0,147,79.17
30530,82.02,88.82,0,113,77.39
30802,82.43,93.4,0,139,76.27
31074,85.58,88.6,0,127,76.79
31346,83.86,92.65,0,156,79.86
31618,86.54,96.03,0,182,82.0
31890,86.07,94.86,0,196,83.2
32162,87.89,96.86,0,243,88.79
32434,87.2,100.14,0,252,88.1
32706,89.23,100.79,0,260,88.12
32978,89.03,100.44,0,327,90.46
33250,93.28,100.89,0,308,95.71
33522,93.01,103.4,0,365,95.0
33794,90.1,100.99,0,458,91.33
34066,98.2,100.51,0,565,96.19
34338,102.15,100.0,0,639,95.03
34610,103.17,101.02,0,704,94.96
34882,107.17,98.15,0,722,94.93
35154,107.37,98.86,0,773,94.08
35426,111.55,98.68,0,739,94.04
35698,124.1,97.48,0,781,93.53
35970,132.81,96.98,0,813,94.35
36242,123.92,97.58,0,894,93.1
36514,115.53,98.8,0,853,93.79
36786,118.56,97.33,0,949,92.18
37058,117.32,95.02,0,992,91.04
37330,115.28,75.83,0,1179,88.2
37602,110.95,94.63,0,1111,90.53
37874,110.32,94.73,0,1085,90.65
38146,110.18,94.65,0,1008,91.53
38418,106.73,94.55,0,1025,90.37
38690,108.22,94.53,0,1130,89.78
38962,111.1,92.33,0,1180,87.75
39234,97.965,96.0,0,1081,91.22
39506,97.965,94.08,0,1185,89.37
39778,97.965,94.41,0,1147,91.04
40050,97.965,94.08,0,1111,91.22
40322,97.965,94.36,0,1131,89.98
40594,97.965,94.06,0,1138,91.43
40866,97.965,93.73,0,1132,90.95
41138,97.965,94.77,0,1110,91.25
41410,139.18,92.78,0,1194,90.8
41682,97.965,93.87,0,1173,89.89
41954,97.965,92.37,0,1186,90.11
42226,139.98,93.48,0,1211,88.3
42498,137.25,91.65,0,1280,85.63
