,VDS_ID,GRS80_X좌표,GRS80_Y좌표,지점이정,VDS존_시작이정,VDS존_종료이정,노선번호,도로명,VDS존_유형구분코드,VDS존_유형구분명,기점종점방향구분코드,VDS존 길이,도로등급구분코드,도로등급구분명,콘존ID,WGS84_X좌표,WGS84_Y좌표
0,0010VDE00100,391265.1686,297630.0182,1.40km,0.20km,2.02km,10,경부선,1,FTMS 본선 VDS,E,1820.00m,101,고속국도,0010CZE010,129.1016137,35.25697659
1,0010VDE00200,391642.5985,298552.1566,2.40km,2.02km,2.85km,10,경부선,1,FTMS 본선 VDS,E,830.00m,101,고속국도,0010CZE011,129.1059734,35.26521052
2,0010VDE00300,391873.6131,299421.8265,3.30km,2.85km,4.01km,10,경부선,1,FTMS 본선 VDS,E,1160.00m,101,고속국도,0010CZE011,129.1087136,35.2729997
3,0010VDE00400,391448.5862,300528.9937,4.50km,4.01km,5.08km,10,경부선,1,FTMS 본선 VDS,E,1070.00m,101,고속국도,0010CZE020,129.1043033,35.28305363
4,0010VDE00500,391067.9347,300978.0163,5.10km,5.08km,5.58km,10,경부선,1,FTMS 본선 VDS,E,500.00m,101,고속국도,0010CZE030,129.1002264,35.28717082
5,0010VDE00600,390059.3078,301623.7323,6.30km,5.58km,6.80km,10,경부선,1,FTMS 본선 VDS,E,1220.00m,101,고속국도,0010CZE035,129.0892956,35.293179
6,0010VDE00700,389382.8349,302360.5479,7.30km,6.80km,7.80km,10,경부선,1,FTMS 본선 VDS,E,1000.00m,101,고속국도,0010CZE035,129.0820337,35.29994401
7,0010VDE00800,388711.8737,303102.6341,8.30km,7.80km,8.75km,10,경부선,1,FTMS 본선 VDS,E,950.00m,101,고속국도,0010CZE035,129.0748323,35.30675506
8,0010VDE00900,388107.5524,303770.093,9.20km,8.75km,9.60km,10,경부선,1,FTMS 본선 VDS,E,850.00m,101,고속국도,0010CZE035,129.0683449,35.31288098
9,0010VDE01000,387520.4458,304313.8277,10.00km,9.60km,10.55km,10,경부선,1,FTMS 본선 VDS,E,950.00m,101,고속국도,0010CZE035,129.0620175,35.3178889
10,0010VDE01100,386675.5736,305006.2377,11.10km,10.55km,11.50km,10,경부선,1,FTMS 본선 VDS,E,950.00m,101,고속국도,0010CZE035,129.0528901,35.32428387
11,0010VDE01200,385987.4054,305385.5527,11.90km,11.50km,12.35km,10,경부선,1,FTMS 본선 VDS,E,850.00m,101,고속국도,0010CZE035,129.0454126,35.32782882
12,0010VDE01300,385516.2051,306151.49,12.80km,12.35km,12.86km,10,경부선,1,FTMS 본선 VDS,E,510.00m,101,고속국도,0010CZE035,129.040407,35.33481563
13,0010VDE01500,385975.6634,307607.9069,14.40km,12.86km,14.95km,10,경부선,1,FTMS 본선 VDS,E,2090.00m,101,고속국도,0010CZE040,129.0457883,35.34784902
14,0010VDE01600,385912.2547,308702.1437,15.50km,14.95km,16.00km,10,경부선,1,FTMS 본선 VDS,E,1050.00m,101,고속국도,0010CZE040,129.0453397,35.35771721
15,0010VDE01700,386058.0515,309677.3927,16.50km,16.00km,17.05km,10,경부선,1,FTMS 본선 VDS,E,1050.00m,101,고속국도,0010CZE040,129.0471646,35.36647464
16,0010VDE01800,386374.1348,310730.5643,17.60km,17.05km,17.94km,10,경부선,1,FTMS 본선 VDS,E,890.00m,101,고속국도,0010CZE040,129.0508805,35.37590212
17,0010VDE01900,386513.6781,311314.2351,18.20km,17.94km,18.65km,10,경부선,1,FTMS 본선 VDS,E,710.00m,101,고속국도,0010CZE050,129.0525484,35.38113345
